is_grand_final,updated,hteamid,timestr,complete,tz,unixtime,winner,ascore,hgoals,ateam,abehinds,is_final,date,hbehinds,hteam,venue,winnerteamid,round,hscore,agoals,id,ateamid,localtime,year,roundname
0,2022-01-25 11:07:11,10,Full Time,100,+10:00,1177816200,Western Bulldogs,110,13,Western Bulldogs,14,0,2007-04-29 13:10:00,15,Hawthorn,M.C.G.,18.0,5,93,16,9453,18,2007-04-29 13:10:00,2007,Round 5
0,2022-01-25 11:07:11,13,Full Time,100,+10:00,1177665000,Port Adelaide,43,14,St Kilda,7,0,2007-04-27 19:10:00,12,Port Adelaide,Football Park,13.0,5,96,6,9449,15,2007-04-27 18:40:00,2007,Round 5
0,2022-01-25 11:07:11,14,Full Time,100,+10:00,1177733400,West Coast,99,11,West Coast,15,0,2007-04-28 14:10:00,10,Richmond,M.C.G.,17.0,5,76,14,9450,17,2007-04-28 14:10:00,2007,Round 5
0,2022-01-25 11:07:11,16,Full Time,100,+10:00,1177751400,Sydney,60,17,Melbourne,12,0,2007-04-28 19:10:00,7,Sydney,S.C.G.,16.0,5,109,8,9452,11,2007-04-28 19:10:00,2007,Round 5
0,2022-01-25 11:07:11,1,Full Time,100,+10:00,1178356200,Collingwood,86,9,Collingwood,20,0,2007-05-05 19:10:00,8,Adelaide,Football Park,4.0,6,62,11,9460,4,2007-05-05 18:40:00,2007,Round 6
0,2022-01-25 11:07:11,2,Full Time,100,+10:00,1178421000,Brisbane Lions,75,17,Fremantle,15,0,2007-05-06 13:10:00,18,Brisbane Lions,Gabba,2.0,6,120,10,9461,6,2007-05-06 13:10:00,2007,Round 6
0,2022-01-25 11:07:11,5,Full Time,100,+10:00,1178338200,Hawthorn,131,15,Hawthorn,11,0,2007-05-05 14:10:00,6,Essendon,M.C.G.,10.0,6,96,20,9457,10,2007-05-05 14:10:00,2007,Round 6
0,2022-01-25 11:07:11,11,Full Time,100,+10:00,1178424600,Port Adelaide,76,9,Port Adelaide,16,0,2007-05-06 14:10:00,17,Melbourne,M.C.G.,13.0,6,71,10,9462,13,2007-05-06 14:10:00,2007,Round 6
0,2022-01-25 11:07:11,12,Full Time,100,+10:00,1178356200,North Melbourne,95,16,Sydney,11,0,2007-05-05 19:10:00,15,North Melbourne,Docklands,12.0,6,111,14,9459,16,2007-05-05 19:10:00,2007,Round 6
0,2022-01-25 11:07:11,14,Full Time,100,+10:00,1178435400,Geelong,222,9,Geelong,12,0,2007-05-06 17:10:00,11,Richmond,Docklands,7.0,6,65,35,9463,7,2007-05-06 17:10:00,2007,Round 6
