unixtime,winner,ascore,hgoals,ateam,abehinds,is_grand_final,hteamid,updated,timestr,complete,tz,ateamid,id,roundname,localtime,year,is_final,date,winnerteamid,hteam,venue,hbehinds,agoals,hscore,round
989122200,Essendon,70,24,West Coast,10,0,5,2022-01-25 11:07:28,Full Time,100,+10:00,17,10572,Round 6,2001-05-06 14:10:00,2001,0,2001-05-06 14:10:00,5,Essendon,Docklands,14,10,158,6
989048400,Melbourne,119,9,Melbourne,11,0,6,2022-01-25 11:07:28,Full Time,100,+10:00,11,10568,Round 6,2001-05-05 15:40:00,2001,0,2001-05-05 17:40:00,11,Fremantle,Subiaco,20,18,74,6
989122200,Hawthorn,91,16,Adelaide,19,0,10,2022-01-25 11:07:28,Full Time,100,+10:00,1,10571,Round 6,2001-05-06 14:10:00,2001,0,2001-05-06 14:10:00,10,Hawthorn,York Park,8,12,104,6
988969200,Richmond,129,12,Richmond,15,0,12,2022-01-25 11:07:28,Full Time,100,+10:00,14,10566,Round 6,2001-05-04 19:40:00,2001,0,2001-05-04 19:40:00,14,North Melbourne,Docklands,6,19,78,6
989053800,Port Adelaide,86,20,Western Bulldogs,8,0,13,2022-01-25 11:07:28,Full Time,100,+10:00,18,10569,Round 6,2001-05-05 18:40:00,2001,0,2001-05-05 19:10:00,13,Port Adelaide,Football Park,9,13,129,6
989035800,St Kilda,94,18,Sydney,10,0,15,2022-01-25 11:07:28,Full Time,100,+10:00,16,10567,Round 6,2001-05-05 14:10:00,2001,0,2001-05-05 14:10:00,15,St Kilda,Docklands,12,14,120,6
989658600,Adelaide,83,14,Fremantle,11,0,1,2022-01-25 11:07:28,Full Time,100,+10:00,6,10577,Round 7,2001-05-12 18:40:00,2001,0,2001-05-12 19:10:00,1,Adelaide,Football Park,19,12,103,7
989727000,North Melbourne,99,14,North Melbourne,9,0,4,2022-01-25 11:07:28,Full Time,100,+10:00,12,10579,Round 7,2001-05-13 14:10:00,2001,0,2001-05-13 14:10:00,12,Collingwood,Docklands,13,15,97,7
989727000,Carlton,108,9,Carlton,6,0,7,2022-01-25 11:07:28,Full Time,100,+10:00,3,10578,Round 7,2001-05-13 14:10:00,2001,0,2001-05-13 14:10:00,3,Geelong,M.C.G.,14,17,68,7
989574000,Western Bulldogs,107,12,Western Bulldogs,17,0,11,2022-01-25 11:07:28,Full Time,100,+10:00,18,10574,Round 7,2001-05-11 19:40:00,2001,0,2001-05-11 19:40:00,18,Melbourne,M.C.G.,5,15,77,7
989640600,Essendon,120,10,Essendon,24,0,14,2022-01-25 11:07:28,Full Time,100,+10:00,5,10575,Round 7,2001-05-12 14:10:00,2001,0,2001-05-12 14:10:00,5,Richmond,M.C.G.,14,16,74,7
989658000,Hawthorn,110,15,Hawthorn,14,0,15,2022-01-25 11:07:28,Full Time,100,+10:00,10,10576,Round 7,2001-05-12 19:00:00,2001,0,2001-05-12 19:00:00,10,St Kilda,Docklands,9,16,99,7
989727000,Brisbane Lions,112,12,Brisbane Lions,22,0,16,2022-01-25 11:07:28,Full Time,100,+10:00,2,10580,Round 7,2001-05-13 14:10:00,2001,0,2001-05-13 14:10:00,2,Sydney,S.C.G.,8,15,80,7
989727000,Port Adelaide,121,7,Port Adelaide,19,0,17,2022-01-25 11:07:28,Full Time,100,+10:00,13,10581,Round 7,2001-05-13 12:10:00,2001,0,2001-05-13 14:10:00,13,West Coast,Subiaco,8,17,50,7
990245400,Carlton,68,21,Brisbane Lions,14,0,3,2022-01-25 11:07:28,Full Time,100,+10:00,2,10584,Round 8,2001-05-19 14:10:00,2001,0,2001-05-19 14:10:00,3,Carlton,Princes Park,16,9,142,8
990331800,Geelong,95,10,Geelong,11,0,6,2022-01-25 11:07:28,Full Time,100,+10:00,7,10589,Round 8,2001-05-20 12:10:00,2001,0,2001-05-20 14:10:00,7,Fremantle,Subiaco,13,14,73,8
990245400,Hawthorn,58,21,West Coast,10,0,10,2022-01-25 11:07:28,Full Time,100,+10:00,17,10585,Round 8,2001-05-19 14:10:00,2001,0,2001-05-19 14:10:00,10,Hawthorn,M.C.G.,12,8,138,8
990331800,Essendon,85,11,Essendon,13,0,11,2022-01-25 11:07:28,Full Time,100,+10:00,5,10587,Round 8,2001-05-20 14:10:00,2001,0,2001-05-20 14:10:00,5,Melbourne,M.C.G.,13,12,79,8
990243600,North Melbourne,89,19,St Kilda,11,0,12,2022-01-25 11:07:28,Full Time,100,+10:00,15,10583,Round 8,2001-05-19 13:40:00,2001,0,2001-05-19 13:40:00,12,North Melbourne,Manuka Oval,24,13,138,8
