unixtime,winner,ascore,hgoals,abehinds,ateam,is_grand_final,updated,hteamid,timestr,complete,tz,id,ateamid,year,localtime,roundname,is_final,date,venue,hbehinds,hteam,winnerteamid,round,agoals,hscore
894616800,Sydney,115,12,7,Sydney,0,2022-11-10 21:14:18,4,,100,+11:00,21878,16,1998,1998-05-08 18:40:00,Round 7,0,1998-05-08 19:40:00,M.C.G.,7,Collingwood,16.0,7,18,79
894703200,Geelong,79,11,7,Geelong,0,2022-11-10 21:14:18,5,,100,+11:00,21882,7,1998,1998-05-09 18:40:00,Round 7,0,1998-05-09 19:40:00,M.C.G.,4,Essendon,7.0,7,12,70
894613200,Hawthorn,99,8,9,Hawthorn,0,2022-11-10 21:14:18,6,,100,+11:00,21879,10,1998,1998-05-08 15:40:00,Round 7,0,1998-05-08 18:40:00,W.A.C.A.,9,Fremantle,10.0,7,15,57
894769800,Richmond,49,13,7,Melbourne,0,2022-11-10 21:14:18,14,,100,+11:00,21885,11,1998,1998-05-10 13:10:00,Round 7,0,1998-05-10 14:10:00,M.C.G.,13,Richmond,14.0,7,7,91
894683400,Brisbane Lions,99,11,9,Brisbane Lions,0,2022-11-10 21:14:18,15,,100,+11:00,21881,2,1998,1998-05-09 13:10:00,Round 7,0,1998-05-09 14:10:00,Waverley Park,16,St Kilda,2.0,7,15,82
894769800,Western Bulldogs,83,16,11,North Melbourne,0,2022-11-10 21:14:18,18,,100,+11:00,21884,12,1998,1998-05-10 13:10:00,Round 7,0,1998-05-10 14:10:00,Princes Park,15,Western Bulldogs,18.0,7,12,111
895376400,Richmond,92,11,8,Richmond,0,2022-11-10 21:14:18,1,,100,+11:00,21844,14,1998,1998-05-17 13:10:00,Round 8,0,1998-05-17 14:40:00,Football Park,13,Adelaide,14.0,8,14,79
895221600,Essendon,70,12,22,Brisbane Lions,0,2022-11-10 21:14:18,5,,100,+11:00,21838,2,1998,1998-05-15 18:40:00,Round 8,0,1998-05-15 19:40:00,M.C.G.,12,Essendon,5.0,8,8,84
895288200,Geelong,54,12,18,Fremantle,0,2022-11-10 21:14:18,7,,100,+11:00,21839,6,1998,1998-05-16 13:10:00,Round 8,0,1998-05-16 14:10:00,Kardinia Park,4,Geelong,7.0,8,6,76
895374600,Western Bulldogs,136,14,10,Western Bulldogs,0,2022-11-10 21:14:18,10,,100,+11:00,21843,18,1998,1998-05-17 13:10:00,Round 8,0,1998-05-17 14:10:00,Waverley Park,12,Hawthorn,18.0,8,21,96
895374600,Melbourne,111,17,15,Collingwood,0,2022-11-10 21:14:18,11,,100,+11:00,21842,4,1998,1998-05-17 13:10:00,Round 8,0,1998-05-17 14:10:00,M.C.G.,12,Melbourne,11.0,8,16,114
895288200,North Melbourne,95,15,11,Sydney,0,2022-11-10 21:14:18,12,,100,+11:00,21840,16,1998,1998-05-16 13:10:00,Round 8,0,1998-05-16 14:10:00,M.C.G.,15,North Melbourne,12.0,8,14,105
895308000,St Kilda,45,10,15,Port Adelaide,0,2022-11-10 21:14:18,15,,100,+11:00,21841,13,1998,1998-05-16 18:40:00,Round 8,0,1998-05-16 19:40:00,Waverley Park,12,St Kilda,15.0,8,5,72
895378800,West Coast,84,12,12,Carlton,0,2022-11-10 21:14:18,17,,100,+11:00,21845,3,1998,1998-05-17 12:20:00,Round 8,0,1998-05-17 15:20:00,Subiaco,20,West Coast,17.0,8,12,92
895912800,Adelaide,98,6,14,Adelaide,0,2022-11-10 21:14:18,2,,100,+11:00,21819,1,1998,1998-05-23 18:40:00,Round 9,0,1998-05-23 19:40:00,Gabba,14,Brisbane Lions,1.0,9,14,50
895893000,North Melbourne,115,10,13,North Melbourne,0,2022-11-10 21:14:18,3,,100,+11:00,21815,12,1998,1998-05-23 13:10:00,Round 9,0,1998-05-23 14:10:00,Princes Park,14,Carlton,12.0,9,17,74
895830000,Fremantle,90,14,12,St Kilda,0,2022-11-10 21:14:18,6,,100,+11:00,21814,15,1998,1998-05-22 17:40:00,Round 9,0,1998-05-22 20:40:00,W.A.C.A.,21,Fremantle,6.0,9,13,105
895893000,West Coast,65,5,11,West Coast,0,2022-11-10 21:14:18,7,,100,+11:00,21817,17,1998,1998-05-23 13:10:00,Round 9,0,1998-05-23 14:10:00,Kardinia Park,14,Geelong,17.0,9,9,44
895898400,Essendon,122,12,14,Essendon,0,2022-11-10 21:14:18,11,,100,+11:00,21818,5,1998,1998-05-23 14:40:00,Round 9,0,1998-05-23 15:40:00,M.C.G.,12,Melbourne,5.0,9,18,84
895983600,Port Adelaide,63,11,9,Collingwood,0,2022-11-10 21:14:18,13,,100,+11:00,21821,4,1998,1998-05-24 13:50:00,Round 9,0,1998-05-24 15:20:00,Football Park,14,Port Adelaide,13.0,9,9,80
895981200,Sydney,80,17,14,Hawthorn,0,2022-11-10 21:14:18,16,,100,+11:00,21820,10,1998,1998-05-24 13:40:00,Round 9,0,1998-05-24 14:40:00,S.C.G.,15,Sydney,16.0,9,11,117
895893000,Western Bulldogs,75,13,9,Richmond,0,2022-11-10 21:14:18,18,,100,+11:00,21816,14,1998,1998-05-23 13:10:00,Round 9,0,1998-05-23 14:10:00,Waverley Park,10,Western Bulldogs,18.0,9,11,88
896584200,Adelaide,58,17,10,Melbourne,0,2022-11-10 21:14:18,1,,100,+11:00,21932,11,1998,1998-05-31 12:40:00,Round 10,0,1998-05-31 14:10:00,Football Park,9,Adelaide,1.0,10,8,111
896497800,Carlton,87,17,15,Brisbane Lions,0,2022-11-10 21:14:18,3,,100,+11:00,21926,2,1998,1998-05-30 13:10:00,Round 10,0,1998-05-30 14:10:00,Princes Park,9,Carlton,3.0,10,12,111
896584200,Collingwood,112,19,10,Fremantle,0,2022-11-10 21:14:18,4,,100,+11:00,21930,6,1998,1998-05-31 13:10:00,Round 10,0,1998-05-31 14:10:00,Victoria Park,5,Collingwood,4.0,10,17,119
896503200,Essendon,93,13,15,Essendon,0,2022-11-10 21:14:18,10,,100,+11:00,21928,5,1998,1998-05-30 14:40:00,Round 10,0,1998-05-30 15:40:00,Waverley Park,9,Hawthorn,5.0,10,13,87
896584200,Geelong,114,13,12,Geelong,0,2022-11-10 21:14:18,12,,100,+11:00,21931,7,1998,1998-05-31 13:10:00,Round 10,0,1998-05-31 14:10:00,M.C.G.,13,North Melbourne,7.0,10,17,91
896497800,Richmond,67,13,13,Port Adelaide,0,2022-11-10 21:14:18,14,,100,+11:00,21927,13,1998,1998-05-30 13:10:00,Round 10,0,1998-05-30 14:10:00,M.C.G.,19,Richmond,14.0,10,9,97
896517600,St Kilda,154,8,10,St Kilda,0,2022-11-10 21:14:18,16,,100,+11:00,21929,15,1998,1998-05-30 18:40:00,Round 10,0,1998-05-30 19:40:00,S.C.G.,5,Sydney,15.0,10,24,53
896434800,West Coast,100,16,10,Western Bulldogs,0,2022-11-10 21:14:18,17,,100,+11:00,21925,18,1998,1998-05-29 17:40:00,Round 10,0,1998-05-29 20:40:00,W.A.C.A.,17,West Coast,17.0,10,15,113
897036000,Essendon,100,24,10,Sydney,0,2022-11-10 21:14:18,5,,100,+11:00,21870,16,1998,1998-06-05 18:40:00,Round 11,0,1998-06-05 19:40:00,M.C.G.,16,Essendon,5.0,11,15,160
