unixtime,winner,ascore,hgoals,abehinds,ateam,is_grand_final,updated,hteamid,complete,timestr,tz,id,ateamid,year,localtime,roundname,is_final,date,venue,hteam,hbehinds,winnerteamid,round,hscore,agoals
1556272200,Port Adelaide,72,12,6,North Melbourne,0,2019-04-26 22:28:03,13,100,Full Time,+10:00,3140,12,2019,2019-04-26 19:20:00,Round 6,0,2019-04-26 19:50:00,Adelaide Oval,Port Adelaide,16,13,6,88,11
1556098500,Richmond,42,12,6,Melbourne,0,2019-04-24 22:06:03,14,100,Full Time,+10:00,3128,11,2019,2019-04-24 19:35:00,Round 6,0,2019-04-24 19:35:00,M.C.G.,Richmond,13,14,6,85,6
1556346900,Adelaide,97,10,7,Adelaide,0,2019-04-27 19:06:02,15,100,Full Time,+10:00,3142,1,2019,2019-04-27 16:35:00,Round 6,0,2019-04-27 16:35:00,Marvel Stadium,St Kilda,8,1,6,68,15
1556357100,Greater Western Sydney,120,12,12,Greater Western Sydney,0,2019-04-27 22:10:02,16,100,Full Time,+10:00,3143,9,2019,2019-04-27 19:25:00,Round 6,0,2019-04-27 19:25:00,S.C.G.,Sydney,7,9,6,79,18
1557038400,Adelaide,34,7,4,Fremantle,0,2019-05-05 19:10:03,1,100,Full Time,+10:00,3158,6,2019,2019-05-05 16:10:00,Round 7,0,2019-05-05 16:40:00,Adelaide Oval,Adelaide,9,1,7,51,5
1556951700,Brisbane Lions,81,14,9,Sydney,0,2019-05-04 19:26:02,2,100,Full Time,+10:00,3153,16,2019,2019-05-04 16:35:00,Round 7,0,2019-05-04 16:35:00,Gabba,Brisbane Lions,19,2,7,103,12
1557025800,North Melbourne,120,8,12,North Melbourne,0,2019-05-05 15:50:03,3,100,Full Time,+10:00,3156,12,2019,2019-05-05 13:10:00,Round 7,0,2019-05-05 13:10:00,Marvel Stadium,Carlton,14,12,7,62,18
1556877000,Collingwood,69,15,9,Port Adelaide,0,2019-05-03 22:28:03,4,100,Full Time,+10:00,3147,13,2019,2019-05-03 19:50:00,Round 7,0,2019-05-03 19:50:00,Marvel Stadium,Collingwood,18,4,7,108,10
1557033600,Geelong,54,13,12,Essendon,0,2019-05-05 17:50:03,7,100,Full Time,+10:00,3157,5,2019,2019-05-05 15:20:00,Round 7,0,2019-05-05 15:20:00,M.C.G.,Geelong,8,7,7,86,7
1556941500,Greater Western Sydney,70,18,10,St Kilda,0,2019-05-04 16:30:03,9,100,Full Time,+10:00,3149,15,2019,2019-05-04 13:45:00,Round 7,0,2019-05-04 13:45:00,Manuka Oval,Greater Western Sydney,6,9,7,114,10
1556941500,Melbourne,74,11,8,Hawthorn,0,2019-05-04 16:18:03,11,100,Full Time,+10:00,3148,10,2019,2019-05-04 13:45:00,Round 7,0,2019-05-04 13:45:00,M.C.G.,Melbourne,13,11,7,79,11
1556964600,West Coast,57,11,9,Gold Coast,0,2019-05-04 22:44:02,17,100,Full Time,+10:00,3155,8,2019,2019-05-04 18:10:00,Round 7,0,2019-05-04 20:10:00,Perth Stadium,West Coast,14,17,7,80,8
