round,hscore,agoals,venue,hteam,hbehinds,winnerteamid,date,is_final,localtime,year,roundname,id,ateamid,tz,complete,timestr,updated,hteamid,is_grand_final,abehinds,ateam,winner,ascore,hgoals,unixtime
5,60,14,S.C.G.,Sydney,18,11.0,2005-04-23 19:10:00,0,2005-04-23 19:10:00,2005,Round 5,9822,11,+10:00,100,Full Time,2022-01-25 11:07:17,16,0,10,Melbourne,Melbourne,94,7,1114247400
5,140,16,Docklands,Western Bulldogs,14,18.0,2005-04-23 19:10:00,0,2005-04-23 19:10:00,2005,Round 5,9821,1,+10:00,100,Full Time,2022-01-25 11:07:17,18,0,13,Adelaide,Western Bulldogs,109,21,1114247400
6,74,10,Football Park,Adelaide,14,1.0,2005-04-30 14:10:00,0,2005-04-30 13:40:00,2005,Round 6,9828,12,+10:00,100,Full Time,2022-01-25 11:07:17,1,0,4,North Melbourne,Adelaide,64,10,1114834200
6,89,12,Docklands,Carlton,11,3.0,2005-04-29 19:40:00,0,2005-04-29 19:40:00,2005,Round 6,9826,10,+10:00,100,Full Time,2022-01-25 11:07:17,3,0,11,Hawthorn,Carlton,83,13,1114767600
6,71,16,M.C.G.,Collingwood,11,15.0,2005-05-01 14:10:00,0,2005-05-01 14:10:00,2005,Round 6,9832,15,+10:00,100,Full Time,2022-01-25 11:07:17,4,0,13,St Kilda,St Kilda,109,10,1114920600
6,88,21,Docklands,Essendon,16,2.0,2005-04-30 19:10:00,0,2005-04-30 19:10:00,2005,Round 6,9829,2,+10:00,100,Full Time,2022-01-25 11:07:17,5,0,10,Brisbane Lions,Brisbane Lions,136,12,1114852200
6,108,11,Kardinia Park,Geelong,12,7.0,2005-05-01 13:10:00,0,2005-05-01 13:10:00,2005,Round 6,9831,18,+10:00,100,Full Time,2022-01-25 11:07:17,7,0,7,Western Bulldogs,Geelong,73,16,1114917000
6,129,22,M.C.G.,Melbourne,9,6.0,2005-04-30 14:10:00,0,2005-04-30 14:10:00,2005,Round 6,9827,6,+10:00,100,Full Time,2022-01-25 11:07:17,11,0,11,Fremantle,Fremantle,143,20,1114834200
6,123,9,Docklands,Richmond,9,14.0,2005-05-01 14:10:00,0,2005-05-01 14:10:00,2005,Round 6,9833,13,+10:00,100,Full Time,2022-01-25 11:07:17,14,0,13,Port Adelaide,Richmond,67,19,1114920600
6,104,8,Subiaco,West Coast,14,17.0,2005-04-30 17:40:00,0,2005-04-30 15:40:00,2005,Round 6,9830,16,+10:00,100,Full Time,2022-01-25 11:07:17,17,0,11,Sydney,West Coast,59,15,1114846800
