hteamid,updated,is_grand_final,tz,timestr,complete,unixtime,ateam,abehinds,hgoals,winner,ascore,date,is_final,agoals,hscore,round,winnerteamid,hbehinds,venue,hteam,ateamid,id,roundname,year,localtime
4,2022-01-25 11:07:30,0,+10:00,Full Time,100,955771800,North Melbourne,12,11,North Melbourne,114,2000-04-15 14:10:00,0,17,82,6,12.0,16,M.C.G.,Collingwood,12,10753,Round 6,2000,2000-04-15 14:10:00
7,2022-01-25 11:07:30,0,+10:00,Full Time,100,955858200,Melbourne,12,15,Geelong,84,2000-04-16 14:10:00,0,12,109,6,7.0,19,Kardinia Park,Geelong,11,10756,Round 6,2000,2000-04-16 14:10:00
15,2022-01-25 11:07:30,0,+10:00,Full Time,100,955791600,Brisbane Lions,15,9,Brisbane Lions,105,2000-04-15 19:40:00,0,15,66,6,2.0,12,Docklands,St Kilda,2,10754,Round 6,2000,2000-04-15 19:40:00
16,2022-01-25 11:07:30,0,+10:00,Full Time,100,955860000,Richmond,10,16,Richmond,112,2000-04-16 14:40:00,0,17,106,6,14.0,10,S.C.G.,Sydney,14,10757,Round 6,2000,2000-04-16 14:40:00
17,2022-01-25 11:07:30,0,+10:00,Full Time,100,955788000,Fremantle,7,28,West Coast,61,2000-04-15 18:40:00,0,9,178,6,17.0,10,Subiaco,West Coast,6,10755,Round 6,2000,2000-04-15 16:40:00
18,2022-01-25 11:07:30,0,+10:00,Full Time,100,955705200,Essendon,12,12,Essendon,144,2000-04-14 19:40:00,0,22,81,6,5.0,9,Docklands,Western Bulldogs,5,10751,Round 6,2000,2000-04-14 19:40:00
4,2022-01-25 11:07:30,0,+10:00,Full Time,100,956636100,Essendon,14,15,Essendon,140,2000-04-25 14:15:00,0,21,100,7,5.0,10,M.C.G.,Collingwood,5,10765,Round 7,2000,2000-04-25 14:15:00
6,2022-01-25 11:07:30,0,+10:00,Full Time,100,956635800,Brisbane Lions,10,17,Fremantle,100,2000-04-25 14:10:00,0,15,111,7,6.0,9,Subiaco,Fremantle,2,10766,Round 7,2000,2000-04-25 12:10:00
10,2022-01-25 11:07:30,0,+10:00,Full Time,100,956376600,Western Bulldogs,8,19,Hawthorn,92,2000-04-22 14:10:00,0,14,123,7,10.0,9,M.C.G.,Hawthorn,18,10759,Round 7,2000,2000-04-22 14:10:00
11,2022-01-25 11:07:30,0,+10:00,Full Time,100,956463000,West Coast,5,20,Melbourne,77,2000-04-23 14:10:00,0,12,138,7,11.0,18,Docklands,Melbourne,17,10763,Round 7,2000,2000-04-23 14:10:00
13,2022-01-25 11:07:30,0,+10:00,Full Time,100,956461200,Adelaide,14,13,Adelaide,98,2000-04-23 13:40:00,0,14,91,7,1.0,13,Football Park,Port Adelaide,1,10762,Round 7,2000,2000-04-23 13:10:00
14,2022-01-25 11:07:30,0,+10:00,Full Time,100,956549400,Carlton,12,10,Carlton,120,2000-04-24 14:10:00,0,18,69,7,3.0,9,M.C.G.,Richmond,3,10764,Round 7,2000,2000-04-24 14:10:00
15,2022-01-25 11:07:30,0,+10:00,Full Time,100,956396400,North Melbourne,15,18,North Melbourne,129,2000-04-22 19:40:00,0,19,117,7,12.0,9,Docklands,St Kilda,12,10761,Round 7,2000,2000-04-22 19:40:00
16,2022-01-25 11:07:30,0,+10:00,Full Time,100,956396400,Geelong,6,15,Geelong,108,2000-04-22 19:40:00,0,17,99,7,7.0,9,S.C.G.,Sydney,7,10760,Round 7,2000,2000-04-22 19:40:00
2,2022-01-25 11:07:30,0,+10:00,Full Time,100,957174000,Essendon,13,9,Essendon,127,2000-05-01 19:40:00,0,19,63,8,5.0,9,Gabba,Brisbane Lions,5,10774,Round 8,2000,2000-05-01 19:40:00
3,2022-01-25 11:07:30,0,+10:00,Full Time,100,957067800,Sydney,10,16,Carlton,64,2000-04-30 14:10:00,0,9,109,8,3.0,13,Princes Park,Carlton,16,10771,Round 8,2000,2000-04-30 14:10:00
4,2022-01-25 11:07:30,0,+10:00,Full Time,100,957171600,Fremantle,17,12,Fremantle,107,2000-05-01 19:00:00,0,15,85,8,6.0,13,Docklands,Collingwood,6,10773,Round 8,2000,2000-05-01 19:00:00
7,2022-01-25 11:07:30,0,+10:00,Full Time,100,957067800,Richmond,9,11,Richmond,147,2000-04-30 14:10:00,0,23,77,8,14.0,11,Docklands,Geelong,14,10772,Round 8,2000,2000-04-30 14:10:00
12,2022-01-25 11:07:30,0,+10:00,Full Time,100,956914800,Hawthorn,20,9,Hawthorn,128,2000-04-28 19:40:00,0,18,67,8,10.0,13,M.C.G.,North Melbourne,10,10767,Round 8,2000,2000-04-28 19:40:00
13,2022-01-25 11:07:30,0,+10:00,Full Time,100,957066000,Melbourne,9,12,Melbourne,111,2000-04-30 13:40:00,0,17,86,8,11.0,14,Football Park,Port Adelaide,11,10770,Round 8,2000,2000-04-30 13:10:00
15,2022-01-25 11:07:30,0,+10:00,Full Time,100,956981400,Adelaide,24,10,Adelaide,108,2000-04-29 14:10:00,0,14,68,8,1.0,8,Docklands,St Kilda,1,10768,Round 8,2000,2000-04-29 14:10:00
17,2022-01-25 11:07:30,0,+10:00,Full Time,100,956997600,Western Bulldogs,12,15,West Coast,102,2000-04-29 18:40:00,0,15,108,8,17.0,18,W.A.C.A.,West Coast,18,10769,Round 8,2000,2000-04-29 16:40:00
1,2022-01-25 11:07:30,0,+10:00,Full Time,100,957604200,North Melbourne,14,19,North Melbourne,128,2000-05-06 19:10:00,0,19,125,9,12.0,11,Football Park,Adelaide,12,10777,Round 9,2000,2000-05-06 18:40:00
2,2022-01-25 11:07:30,0,+10:00,Full Time,100,957674400,Collingwood,9,22,Brisbane Lions,117,2000-05-07 14:40:00,0,18,146,9,2.0,14,Gabba,Brisbane Lions,4,10781,Round 9,2000,2000-05-07 14:40:00
6,2022-01-25 11:07:30,0,+10:00,Full Time,100,957669600,Carlton,21,13,Carlton,147,2000-05-07 13:20:00,0,21,82,9,3.0,4,Subiaco,Fremantle,3,10782,Round 9,2000,2000-05-07 11:20:00
10,2022-01-25 11:07:30,0,+10:00,Full Time,100,957586200,Geelong,13,14,Hawthorn,73,2000-05-06 14:10:00,0,10,98,9,10.0,14,M.C.G.,Hawthorn,7,10776,Round 9,2000,2000-05-06 14:10:00
11,2022-01-25 11:07:30,0,+10:00,Full Time,100,957672600,Essendon,16,13,Essendon,106,2000-05-07 14:10:00,0,15,93,9,5.0,15,M.C.G.,Melbourne,5,10779,Round 9,2000,2000-05-07 14:10:00
14,2022-01-25 11:07:30,0,+10:00,Full Time,100,957606000,West Coast,16,11,Richmond,70,2000-05-06 19:40:00,0,9,79,9,14.0,13,Docklands,Richmond,17,10778,Round 9,2000,2000-05-06 19:40:00
16,2022-01-25 11:07:30,0,+10:00,Full Time,100,957672600,Port Adelaide,19,16,Sydney,85,2000-05-07 14:10:00,0,11,111,9,16.0,15,S.C.G.,Sydney,13,10780,Round 9,2000,2000-05-07 14:10:00
18,2022-01-25 11:07:30,0,+10:00,Full Time,100,957519600,St Kilda,8,16,Western Bulldogs,104,2000-05-05 19:40:00,0,16,105,9,18.0,9,Docklands,Western Bulldogs,15,10775,Round 9,2000,2000-05-05 19:40:00
5,2022-01-25 11:07:31,0,+10:00,Full Time,100,958277400,Adelaide,12,20,Essendon,84,2000-05-14 14:10:00,0,12,132,10,5.0,12,Docklands,Essendon,1,10787,Round 10,2000,2000-05-14 14:10:00
11,2022-01-25 11:07:31,0,+10:00,Full Time,100,958381200,Brisbane Lions,18,15,Melbourne,84,2000-05-15 19:00:00,0,11,102,10,11.0,12,Docklands,Melbourne,2,10790,Round 10,2000,2000-05-15 19:00:00
12,2022-01-25 11:07:31,0,+10:00,Full Time,100,958277400,Fremantle,12,22,North Melbourne,60,2000-05-14 14:10:00,0,8,148,10,12.0,16,M.C.G.,North Melbourne,6,10789,Round 10,2000,2000-05-14 14:10:00
13,2022-01-25 11:07:31,0,+10:00,Full Time,100,958209000,Geelong,6,10,,78,2000-05-13 19:10:00,0,12,78,10,,18,Football Park,Port Adelaide,7,10785,Round 10,2000,2000-05-13 18:40:00
14,2022-01-25 11:07:30,0,+10:00,Full Time,100,958191000,Collingwood,12,15,Richmond,54,2000-05-13 14:10:00,0,7,102,10,14.0,12,M.C.G.,Richmond,4,10784,Round 10,2000,2000-05-13 14:10:00
15,2022-01-25 11:07:31,0,+10:00,Full Time,100,958210800,Carlton,19,11,Carlton,109,2000-05-13 19:40:00,0,15,82,10,3.0,16,Docklands,St Kilda,3,10786,Round 10,2000,2000-05-13 19:40:00
17,2022-01-25 11:07:30,0,+10:00,Full Time,100,958120800,Hawthorn,10,17,West Coast,88,2000-05-12 18:40:00,0,13,118,10,17.0,16,Subiaco,West Coast,10,10783,Round 10,2000,2000-05-12 16:40:00
18,2022-01-25 11:07:31,0,+10:00,Full Time,100,958277400,Sydney,7,21,Western Bulldogs,79,2000-05-14 14:10:00,0,12,137,10,18.0,11,S.C.G.,Western Bulldogs,16,10788,Round 10,2000,2000-05-14 14:10:00
1,2022-01-25 11:07:31,0,+10:00,Full Time,100,958882200,Melbourne,22,15,Adelaide,70,2000-05-21 14:10:00,0,8,105,11,1.0,15,Football Park,Adelaide,11,10797,Round 11,2000,2000-05-21 13:40:00
3,2022-01-25 11:07:31,0,+10:00,Full Time,100,958795800,North Melbourne,9,20,Carlton,99,2000-05-20 14:10:00,0,15,129,11,3.0,9,Princes Park,Carlton,12,10792,Round 11,2000,2000-05-20 14:10:00
