date,is_final,round,hscore,agoals,hbehinds,hteam,venue,winnerteamid,id,ateamid,year,localtime,roundname,updated,hteamid,is_grand_final,tz,complete,timestr,unixtime,abehinds,ateam,ascore,winner,hgoals
2009-05-23 17:40:00,0,9,66,12,12,West Coast,Subiaco,4.0,9113,4,2009,2009-05-23 15:40:00,Round 9,2022-01-25 11:07:05,17,0,+10:00,100,Full Time,1243064400,16,Collingwood,88,Collingwood,9
2009-05-31 12:40:00,0,10,106,12,10,Adelaide,Football Park,1.0,9123,10,2009,2009-05-31 12:10:00,Round 10,2022-01-25 11:07:05,1,0,+10:00,100,Full Time,1243737600,7,Hawthorn,79,Adelaide,16
2009-05-29 19:40:00,0,10,111,10,15,Carlton,Docklands,3.0,9118,17,2009,2009-05-29 19:40:00,Round 10,2022-01-25 11:07:05,3,0,+10:00,100,Full Time,1243590000,10,West Coast,70,Carlton,16
2009-05-31 16:40:00,0,10,114,11,12,Collingwood,M.C.G.,4.0,9125,13,2009,2009-05-31 16:40:00,Round 10,2022-01-25 11:07:05,4,0,+10:00,100,Full Time,1243752000,10,Port Adelaide,76,Collingwood,17
2009-05-31 14:10:00,0,10,70,20,4,Essendon,Docklands,7.0,9124,7,2009,2009-05-31 14:10:00,Round 10,2022-01-25 11:07:05,5,0,+10:00,100,Full Time,1243743000,14,Geelong,134,Geelong,11
2009-05-30 17:40:00,0,10,112,17,10,Fremantle,Subiaco,14.0,9122,14,2009,2009-05-30 15:40:00,Round 10,2022-01-25 11:07:05,6,0,+10:00,100,Full Time,1243669200,13,Richmond,115,Richmond,17
2009-05-30 14:10:00,0,10,81,15,9,North Melbourne,Docklands,2.0,9120,2,2009,2009-05-30 14:10:00,Round 10,2022-01-25 11:07:05,12,0,+10:00,100,Full Time,1243656600,9,Brisbane Lions,99,Brisbane Lions,12
2009-05-30 19:10:00,0,10,83,6,17,St Kilda,Carrara,15.0,9121,11,2009,2009-05-30 19:10:00,Round 10,2022-01-25 11:07:05,15,0,+10:00,100,Full Time,1243674600,10,Melbourne,46,St Kilda,11
2009-05-30 14:10:00,0,10,117,12,9,Western Bulldogs,Manuka Oval,18.0,9119,16,2009,2009-05-30 14:10:00,Round 10,2022-01-25 11:07:05,18,0,+10:00,100,Full Time,1243656600,5,Sydney,77,Western Bulldogs,18
2009-06-06 19:10:00,0,11,106,16,10,Brisbane Lions,Gabba,3.0,9128,3,2009,2009-06-06 19:10:00,Round 11,2022-01-25 11:07:05,2,0,+10:00,100,Full Time,1244279400,16,Carlton,112,Carlton,16
2009-06-07 13:10:00,0,11,114,21,6,Essendon,Docklands,1.0,9130,1,2009,2009-06-07 13:10:00,Round 11,2022-01-25 11:07:05,5,0,+10:00,100,Full Time,1244344200,4,Adelaide,130,Adelaide,18
2009-06-07 14:10:00,0,11,86,11,14,Hawthorn,M.C.G.,10.0,9131,16,2009,2009-06-07 14:10:00,Round 11,2022-01-25 11:07:05,10,0,+10:00,100,Full Time,1244347800,9,Sydney,75,Hawthorn,12
2009-06-08 14:10:00,0,11,60,19,12,Melbourne,M.C.G.,4.0,9133,4,2009,2009-06-08 14:10:00,Round 11,2022-01-25 11:07:05,11,0,+10:00,100,Full Time,1244434200,12,Collingwood,126,Collingwood,8
2009-06-06 14:10:00,0,11,57,15,3,North Melbourne,Docklands,15.0,9127,15,2009,2009-06-06 14:10:00,Round 11,2022-01-25 11:07:05,12,0,+10:00,100,Full Time,1244261400,13,St Kilda,103,St Kilda,9
2009-06-06 19:10:00,0,11,94,11,10,Port Adelaide,Football Park,13.0,9129,6,2009,2009-06-06 18:40:00,Round 11,2022-01-25 11:07:05,13,0,+10:00,100,Full Time,1244279400,4,Fremantle,70,Port Adelaide,14
2009-06-05 19:40:00,0,11,89,24,5,Richmond,Docklands,18.0,9126,18,2009,2009-06-05 19:40:00,Round 11,2022-01-25 11:07:05,14,0,+10:00,100,Full Time,1244194800,13,Western Bulldogs,157,Western Bulldogs,14
2009-06-07 14:40:00,0,11,77,15,11,West Coast,Subiaco,7.0,9132,7,2009,2009-06-07 12:40:00,Round 11,2022-01-25 11:07:05,17,0,+10:00,100,Full Time,1244349600,9,Geelong,99,Geelong,11
2009-06-14 16:10:00,0,12,68,3,14,Adelaide,Football Park,1.0,9138,12,2009,2009-06-14 15:40:00,Round 12,2022-01-25 11:07:05,1,0,+10:00,100,Full Time,1244959800,6,North Melbourne,24,Adelaide,9
2009-06-12 19:40:00,0,12,95,16,11,Carlton,Docklands,15.0,9134,15,2009,2009-06-12 19:40:00,Round 12,2022-01-25 11:07:05,3,0,+10:00,100,Full Time,1244799600,8,St Kilda,104,St Kilda,14
2009-06-19 19:40:00,0,12,131,13,17,Essendon,Docklands,5.0,9139,11,2009,2009-06-19 19:40:00,Round 12,2022-01-25 11:07:05,5,0,+10:00,100,Full Time,1245404400,5,Melbourne,83,Essendon,19
2009-06-21 14:40:00,0,12,75,13,9,Fremantle,Subiaco,7.0,9141,7,2009,2009-06-21 12:40:00,Round 12,2022-01-25 11:07:05,6,0,+10:00,100,Full Time,1245559200,16,Geelong,94,Geelong,11
2009-06-14 13:10:00,0,12,51,13,9,Hawthorn,York Park,2.0,9137,2,2009,2009-06-14 13:10:00,Round 12,2022-01-25 11:07:05,10,0,+10:00,100,Full Time,1244949000,15,Brisbane Lions,93,Brisbane Lions,7
2009-06-13 19:10:00,0,12,92,11,14,Richmond,Docklands,14.0,9136,17,2009,2009-06-13 19:10:00,Round 12,2022-01-25 11:07:05,14,0,+10:00,100,Full Time,1244884200,11,West Coast,77,Richmond,13
2009-06-20 19:10:00,0,12,66,13,12,Sydney,Stadium Australia,4.0,9140,4,2009,2009-06-20 19:10:00,Round 12,2022-01-25 11:07:05,16,0,+10:00,100,Full Time,1245489000,11,Collingwood,89,Collingwood,9
2009-06-13 18:40:00,0,12,137,7,11,Western Bulldogs,Marrara Oval,18.0,9135,13,2009,2009-06-13 18:10:00,Round 12,2022-01-25 11:07:05,18,0,+10:00,100,Full Time,1244882400,2,Port Adelaide,44,Western Bulldogs,21
2009-06-27 14:40:00,0,13,85,10,13,Adelaide,Football Park,1.0,9144,16,2009,2009-06-27 14:10:00,Round 13,2022-01-25 11:07:05,1,0,+10:00,100,Full Time,1246077600,9,Sydney,69,Adelaide,12
2009-06-27 19:10:00,0,13,111,8,15,Brisbane Lions,Gabba,2.0,9145,11,2009,2009-06-27 19:10:00,Round 13,2022-01-25 11:07:05,2,0,+10:00,100,Full Time,1246093800,8,Melbourne,56,Brisbane Lions,16
2009-06-27 14:10:00,0,13,169,13,13,Collingwood,M.C.G.,4.0,9143,6,2009,2009-06-27 14:10:00,Round 13,2022-01-25 11:07:05,4,0,+10:00,100,Full Time,1246075800,7,Fremantle,85,Collingwood,26
2009-06-26 19:40:00,0,13,136,9,10,Essendon,M.C.G.,5.0,9142,3,2009,2009-06-26 19:40:00,Round 13,2022-01-25 11:07:05,5,0,+10:00,100,Full Time,1246009200,13,Carlton,67,Essendon,21
2009-06-28 13:10:00,0,13,122,13,14,Geelong,Kardinia Park,7.0,9147,13,2009,2009-06-28 13:10:00,Round 13,2022-01-25 11:07:05,7,0,+10:00,100,Full Time,1246158600,10,Port Adelaide,88,Geelong,18
2009-06-28 14:10:00,0,13,86,17,14,North Melbourne,M.C.G.,18.0,9148,18,2009,2009-06-28 14:10:00,Round 13,2022-01-25 11:07:05,12,0,+10:00,100,Full Time,1246162200,6,Western Bulldogs,108,Western Bulldogs,12
2009-06-28 16:40:00,0,13,92,5,14,St Kilda,Docklands,15.0,9149,14,2009,2009-06-28 16:40:00,Round 13,2022-01-25 11:07:05,15,0,+10:00,100,Full Time,1246171200,6,Richmond,36,St Kilda,13
2009-06-27 17:40:00,0,13,107,13,11,West Coast,Subiaco,17.0,9146,10,2009,2009-06-27 15:40:00,Round 13,2022-01-25 11:07:05,17,0,+10:00,100,Full Time,1246088400,9,Hawthorn,87,West Coast,16
2009-07-03 19:40:00,0,14,102,9,12,Collingwood,M.C.G.,4.0,9150,5,2009,2009-07-03 19:40:00,Round 14,2022-01-25 11:07:05,4,0,+10:00,100,Full Time,1246614000,13,Essendon,67,Collingwood,15
2009-07-05 14:40:00,0,14,100,16,10,Fremantle,Subiaco,3.0,9157,3,2009,2009-07-05 12:40:00,Round 14,2022-01-25 11:07:05,6,0,+10:00,100,Full Time,1246768800,19,Carlton,115,Carlton,15
2009-07-04 14:10:00,0,14,112,13,10,Melbourne,M.C.G.,11.0,9151,17,2009,2009-07-04 14:10:00,Round 14,2022-01-25 11:07:05,11,0,+10:00,100,Full Time,1246680600,14,West Coast,92,Melbourne,17
2009-07-04 14:40:00,0,14,128,11,14,Port Adelaide,Football Park,13.0,9152,2,2009,2009-07-04 14:10:00,Round 14,2022-01-25 11:07:05,13,0,+10:00,100,Full Time,1246682400,14,Brisbane Lions,80,Port Adelaide,19
2009-07-04 19:10:00,0,14,85,15,7,Richmond,Carrara,1.0,9153,1,2009,2009-07-04 19:10:00,Round 14,2022-01-25 11:07:05,14,0,+10:00,100,Full Time,1246698600,12,Adelaide,102,Adelaide,13
2009-07-05 15:10:00,0,14,91,13,7,St Kilda,Docklands,15.0,9156,7,2009,2009-07-05 15:10:00,Round 14,2022-01-25 11:07:05,15,0,+10:00,100,Full Time,1246770600,7,Geelong,85,St Kilda,14
2009-07-05 13:10:00,0,14,100,13,10,Sydney,S.C.G.,16.0,9155,12,2009,2009-07-05 13:10:00,Round 14,2022-01-25 11:07:05,16,0,+10:00,100,Full Time,1246763400,7,North Melbourne,85,Sydney,15
2009-07-04 19:10:00,0,14,133,6,19,Western Bulldogs,Docklands,18.0,9154,10,2009,2009-07-04 19:10:00,Round 14,2022-01-25 11:07:05,18,0,+10:00,100,Full Time,1246698600,9,Hawthorn,45,Western Bulldogs,19
2009-07-11 19:10:00,0,15,130,1,16,Adelaide,Football Park,1.0,9162,6,2009,2009-07-11 18:40:00,Round 15,2022-01-25 11:07:05,1,0,+10:00,100,Full Time,1247303400,7,Fremantle,13,Adelaide,19
2009-07-11 19:10:00,0,15,108,9,12,Brisbane Lions,Gabba,2.0,9161,7,2009,2009-07-11 19:10:00,Round 15,2022-01-25 11:07:05,2,0,+10:00,100,Full Time,1247303400,11,Geelong,65,Brisbane Lions,16
2009-07-11 14:10:00,0,15,109,12,13,Carlton,M.C.G.,3.0,9159,14,2009,2009-07-11 14:10:00,Round 15,2022-01-25 11:07:05,3,0,+10:00,100,Full Time,1247285400,17,Richmond,89,Carlton,16
2009-07-12 13:10:00,0,15,73,9,13,Hawthorn,York Park,10.0,9163,12,2009,2009-07-12 13:10:00,Round 15,2022-01-25 11:07:05,10,0,+10:00,100,Full Time,1247368200,10,North Melbourne,64,Hawthorn,10
