tz,complete,timestr,updated,hteamid,is_grand_final,ateam,abehinds,winner,ascore,hgoals,unixtime,round,agoals,hscore,venue,hbehinds,hteam,winnerteamid,date,is_final,localtime,year,roundname,id,ateamid
+10:00,100,Full Time,2022-01-25 11:07:14,2,0,Sydney,12,Sydney,102,10,1146971400,6,15,70,Gabba,10,Brisbane Lions,16.0,2006-05-07 13:10:00,0,2006-05-07 13:10:00,2006,Round 6,9646,16
+10:00,100,Full Time,2022-01-25 11:07:14,3,0,Collingwood,12,Collingwood,138,9,1146975000,6,21,66,M.C.G.,12,Carlton,4.0,2006-05-07 14:10:00,0,2006-05-07 14:10:00,2006,Round 6,9647,4
+10:00,100,Full Time,2022-01-25 11:07:14,5,0,Richmond,19,Richmond,97,13,1146906600,6,13,95,M.C.G.,17,Essendon,14.0,2006-05-06 19:10:00,0,2006-05-06 19:10:00,2006,Round 6,9644,14
+10:00,100,Full Time,2022-01-25 11:07:14,6,0,West Coast,11,Fremantle,83,12,1146888600,6,12,88,Subiaco,16,Fremantle,6.0,2006-05-06 14:10:00,0,2006-05-06 12:10:00,2006,Round 6,9643,17
+10:00,100,Full Time,2022-01-25 11:07:14,11,0,Geelong,15,Melbourne,81,13,1146822000,6,11,87,M.C.G.,9,Melbourne,11.0,2006-05-05 19:40:00,0,2006-05-05 19:40:00,2006,Round 6,9641,7
+10:00,100,Full Time,2022-01-25 11:07:14,12,0,Hawthorn,14,North Melbourne,80,15,1146975000,6,11,102,Docklands,12,North Melbourne,12.0,2006-05-07 14:10:00,0,2006-05-07 14:10:00,2006,Round 6,9648,10
+10:00,100,Full Time,2022-01-25 11:07:14,15,0,Western Bulldogs,6,St Kilda,78,14,1146888600,6,12,92,Docklands,8,St Kilda,15.0,2006-05-06 14:10:00,0,2006-05-06 14:10:00,2006,Round 6,9642,18
+10:00,100,Full Time,2022-01-25 11:07:14,3,0,Essendon,12,Carlton,78,17,1147579800,7,11,111,M.C.G.,9,Carlton,3.0,2006-05-14 14:10:00,0,2006-05-14 14:10:00,2006,Round 7,9655,5
+10:00,100,Full Time,2022-01-25 11:07:14,10,0,Brisbane Lions,10,Brisbane Lions,106,9,1147511400,7,16,66,Carrara,12,Hawthorn,2.0,2006-05-13 19:10:00,0,2006-05-13 19:10:00,2006,Round 7,9652,2
+10:00,100,Full Time,2022-01-25 11:07:14,11,0,Fremantle,10,Melbourne,58,17,1147493400,7,8,117,M.C.G.,15,Melbourne,11.0,2006-05-13 14:10:00,0,2006-05-13 14:10:00,2006,Round 7,9650,6
+10:00,100,Full Time,2022-01-25 11:07:14,12,0,Adelaide,8,Adelaide,116,9,1147583400,7,18,60,Docklands,6,North Melbourne,1.0,2006-05-14 15:10:00,0,2006-05-14 15:10:00,2006,Round 7,9656,1
+10:00,100,Full Time,2022-01-25 11:07:14,13,0,Western Bulldogs,16,Western Bulldogs,166,13,1147574400,7,25,90,Football Park,12,Port Adelaide,18.0,2006-05-14 12:40:00,0,2006-05-14 12:10:00,2006,Round 7,9654,18
+10:00,100,Full Time,2022-01-25 11:07:14,14,0,Sydney,12,Sydney,180,9,1147493400,7,28,62,Docklands,8,Richmond,16.0,2006-05-13 14:10:00,0,2006-05-13 14:10:00,2006,Round 7,9651,16
+10:00,100,Full Time,2022-01-25 11:07:14,15,0,Geelong,10,Geelong,82,9,1147426800,7,12,64,Docklands,10,St Kilda,7.0,2006-05-12 19:40:00,0,2006-05-12 19:40:00,2006,Round 7,9649,7
+10:00,100,Full Time,2022-01-25 11:07:14,17,0,Collingwood,8,West Coast,98,16,1147506000,7,15,112,Subiaco,16,West Coast,17.0,2006-05-13 17:40:00,0,2006-05-13 15:40:00,2006,Round 7,9653,4
+10:00,100,Full Time,2022-01-25 11:07:14,3,0,St Kilda,18,St Kilda,126,4,1148184600,8,18,34,M.C.G.,10,Carlton,15.0,2006-05-21 14:10:00,0,2006-05-21 14:10:00,2006,Round 8,9663,15
+10:00,100,Full Time,2022-01-25 11:07:14,4,0,Geelong,8,Collingwood,44,22,1148116200,8,6,146,M.C.G.,14,Collingwood,4.0,2006-05-20 19:10:00,0,2006-05-20 19:10:00,2006,Round 8,9660,7
+10:00,100,Full Time,2022-01-25 11:07:14,5,0,West Coast,17,West Coast,113,14,1148184600,8,16,92,Docklands,8,Essendon,17.0,2006-05-21 14:10:00,0,2006-05-21 14:10:00,2006,Round 8,9664,17
+10:00,100,Full Time,2022-01-25 11:07:14,6,0,North Melbourne,13,Fremantle,49,13,1148098200,8,6,84,Subiaco,6,Fremantle,6.0,2006-05-20 14:10:00,0,2006-05-20 12:10:00,2006,Round 8,9659,12
+10:00,100,Full Time,2022-01-25 11:07:14,10,0,Melbourne,16,Melbourne,136,9,1148031600,8,20,61,M.C.G.,7,Hawthorn,11.0,2006-05-19 19:40:00,0,2006-05-19 19:40:00,2006,Round 8,9657,11
+10:00,100,Full Time,2022-01-25 11:07:14,13,0,Brisbane Lions,15,Brisbane Lions,147,10,1148179200,8,22,78,Football Park,18,Port Adelaide,2.0,2006-05-21 12:40:00,0,2006-05-21 12:10:00,2006,Round 8,9662,2
+10:00,100,Full Time,2022-01-25 11:07:14,14,0,Adelaide,12,Richmond,66,10,1148098200,8,9,69,Docklands,9,Richmond,14.0,2006-05-20 14:10:00,0,2006-05-20 14:10:00,2006,Round 8,9658,1
+10:00,100,Full Time,2022-01-25 11:07:14,18,0,Sydney,14,Sydney,116,14,1148116200,8,17,90,S.C.G.,6,Western Bulldogs,16.0,2006-05-20 19:10:00,0,2006-05-20 19:10:00,2006,Round 8,9661,16
+10:00,100,Full Time,2022-01-25 11:07:14,1,0,Carlton,6,Adelaide,60,18,1148704800,9,9,124,Football Park,16,Adelaide,1.0,2006-05-27 14:40:00,0,2006-05-27 14:10:00,2006,Round 9,9667,3
+10:00,100,Full Time,2022-01-25 11:07:14,2,0,Fremantle,13,Brisbane Lions,73,21,1148785800,9,10,141,Gabba,15,Brisbane Lions,2.0,2006-05-28 13:10:00,0,2006-05-28 13:10:00,2006,Round 9,9670,6
+10:00,100,Full Time,2022-01-25 11:07:14,4,0,Western Bulldogs,9,Collingwood,105,21,1148636400,9,16,139,M.C.G.,13,Collingwood,4.0,2006-05-26 19:40:00,0,2006-05-26 19:40:00,2006,Round 9,9665,18
+10:00,100,Full Time,2022-01-25 11:07:14,5,0,Port Adelaide,9,Port Adelaide,129,9,1148721000,9,20,69,Docklands,15,Essendon,13.0,2006-05-27 19:10:00,0,2006-05-27 19:10:00,2006,Round 9,9668,13
+10:00,100,Full Time,2022-01-25 11:07:14,7,0,Richmond,8,Richmond,110,12,1148703000,9,17,90,Kardinia Park,18,Geelong,14.0,2006-05-27 14:10:00,0,2006-05-27 14:10:00,2006,Round 9,9666,14
+10:00,100,Full Time,2022-01-25 11:07:14,10,0,Sydney,5,Sydney,119,7,1148721000,9,19,54,M.C.G.,12,Hawthorn,16.0,2006-05-27 19:10:00,0,2006-05-27 19:10:00,2006,Round 9,9669,16
+10:00,100,Full Time,2022-01-25 11:07:14,15,0,North Melbourne,9,St Kilda,57,10,1148789400,9,8,74,Docklands,14,St Kilda,15.0,2006-05-28 14:10:00,0,2006-05-28 14:10:00,2006,Round 9,9671,12
+10:00,100,Full Time,2022-01-25 11:07:14,17,0,Melbourne,9,West Coast,75,13,1148791200,9,11,97,Subiaco,19,West Coast,17.0,2006-05-28 14:40:00,0,2006-05-28 12:40:00,2006,Round 9,9672,11
